item_instance_id,template_id,counterbalance,base_context,physical_subcategory,required_components,provided_components,novelty,causal_type,causal_direction,vignette,correct_answer_number,option_1,option_2,option_3,option_4,condition,inference_level
12.1.0.0.b__c6,12.1.0.0.b,6,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking on a sandy beach near your home in Mexico wearing a pair of thick-soled hiking boots. 'These boots will protect my feet from sharp objects,' you thought. Your schoolmate Riccardo was walking beside you, talking about how later that day they will be looking for a job with their friend Lucy. As you were walking along the beach, listening to Riccardo, you stepped on a bouquet of roses that had been left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to that bouquet of roses.'
2. 'Oops! I've just stepped on that patch of sand.'
3. 'Oww! That really hurt! I've just stepped on that bouquet of roses.'
4. 'Oops! I've just stepped on that bouquet of roses.'
",4,'Oww! That really hurt! I've just stepped next to that bouquet of roses.','Oops! I've just stepped on that patch of sand.','Oww! That really hurt! I've just stepped on that bouquet of roses.','Oops! I've just stepped on that bouquet of roses.',A,0
01.1.0.0.a__c1,01.1.0.0.a,1,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the hallway in your home in Lagos and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. You were not able to see inside and would have to rely on the label. The label on the box was written in your language. You read the label which said: 'Cornish pasties'. The box was filled with cornish pasties and did not contain any crackers. 

Before opening it, what would you have believed was inside the box?
1. Cornish pasties.
2. Crackers.
3. Plums.
4. Both cornish pasties and crackers.
",1,Cornish pasties.,Crackers.,Plums.,Both cornish pasties and crackers.,A,0
01.1.0.0.a__c2,01.1.0.0.a,2,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the family room in your home in Mecca and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. The label on the box was written in your language. You read the label which said: 'Peaches'. The box was filled with peaches and did not contain any sushi. 

Before opening it, what would you have believed was inside the box?
1. Sushi.
2. Sprouts.
3. Both peaches and sushi.
4. Peaches.
",4,Sushi.,Sprouts.,Both peaches and sushi.,Peaches.,A,2
01.1.0.0.a__c3,01.1.0.0.a,3,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the lounge in your home in Houston and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. Earlier that day, you had eaten some pretzels. The label on the box was written in your language. You read the label which said: 'Burgers'. The box was filled with burgers and did not contain any smarties. 

Before opening it, what would you have believed was inside the box?
1. Both burgers and smarties.
2. Smarties.
3. Burgers.
4. Pretzels.
",3,Both burgers and smarties.,Smarties.,Burgers.,Pretzels.,A,3
01.1.0.0.a__c4,01.1.0.0.a,4,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the pantry in your home in Ottawa and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. You were not able to see inside and would have to rely on the label. The label on the box was written in your language. You read the label which said: 'Pork chops'. The box was filled with noodles and did not contain any pork chops. 

Before opening it, what would you have believed was inside the box?
1. Noodles.
2. Pork chops.
3. Prunes.
4. Both noodles and pork chops.
",2,Noodles.,Pork chops.,Prunes.,Both noodles and pork chops.,B,0
01.1.0.0.a__c5,01.1.0.0.a,5,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the bedroom in your home in Washington and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. The label on the box was written in your language. You read the label which said: 'Raisins'. The box was filled with pineapple and did not contain any raisins. 

Before opening it, what would you have believed was inside the box?
1. Both pineapple and raisins.
2. Raisins.
3. Pineapple.
4. Muffins.
",2,Both pineapple and raisins.,Raisins.,Pineapple.,Muffins.,B,2
01.1.0.0.a__c6,01.1.0.0.a,6,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the kitchen in your home in Athens and found a box that you had not ordered and had never seen before. The box was made of opaque plastic and was tightly sealed with an opaque plastic lid. Earlier that day, you had eaten some blueberries. The label on the box was written in your language. You read the label which said: 'Pancakes'. The box was filled with muffins and did not contain any pancakes. 

Before opening it, what would you have believed was inside the box?
1. Muffins.
2. Both muffins and pancakes.
3. Blueberries.
4. Pancakes.
",4,Muffins.,Both muffins and pancakes.,Blueberries.,Pancakes.,B,3
01.1.0.0.b__c1,01.1.0.0.b,1,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Giza to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut: You were not able to see inside and would have to rely on the sign. The sign on the shop was written in your language. You read the sign which said: 'Headphones'. Going inside, the shop was filled with headphones, and did not contain any pets. 

Before going inside, what would you have believed was inside the shop?
1. Pets.
2. Headphones.
3. High-heeled shoes.
4. Both headphones and pets.
",2,Pets.,Headphones.,High-heeled shoes.,Both headphones and pets.,A,0
01.1.0.0.b__c2,01.1.0.0.b,2,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Philadelphia to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut. The sign on the shop was written in your language. You read the sign which said: 'Pizza'. Going inside, the shop was filled with pizza, and did not contain any oil paintings. 

Before going inside, what would you have believed was inside the shop?
1. Oil paintings.
2. Both pizza and oil paintings.
3. Pizza.
4. Pets.
",3,Oil paintings.,Both pizza and oil paintings.,Pizza.,Pets.,A,2
01.1.0.0.b__c3,01.1.0.0.b,3,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Chongqing to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut. Earlier that day, you had ordered some mobile phones. The sign on the shop was written in your language. You read the sign which said: 'Sportswear'. Going inside, the shop was filled with sportswear, and did not contain any plants. 

Before going inside, what would you have believed was inside the shop?
1. Plants.
2. Mobile phones.
3. Sportswear.
4. Both sportswear and plants.
",3,Plants.,Mobile phones.,Sportswear.,Both sportswear and plants.,A,3
01.1.0.0.b__c4,01.1.0.0.b,4,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Douala to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut: You were not able to see inside and would have to rely on the sign. The sign on the shop was written in your language. You read the sign which said: 'Furniture'. Going inside, the shop was filled with sporting equipment, and did not contain any furniture. 

Before going inside, what would you have believed was inside the shop?
1. Furniture.
2. Both sporting equipment and furniture.
3. Sporting equipment.
4. Toys.
",1,Furniture.,Both sporting equipment and furniture.,Sporting equipment.,Toys.,B,0
01.1.0.0.b__c5,01.1.0.0.b,5,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Munich to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut. The sign on the shop was written in your language. You read the sign which said: 'Pizza'. Going inside, the shop was filled with carpets, and did not contain any pizza. 

Before going inside, what would you have believed was inside the shop?
1. Both carpets and pizza.
2. Make up.
3. Pizza.
4. Carpets.
",3,Both carpets and pizza.,Make up.,Pizza.,Carpets.,B,2
01.1.0.0.b__c6,01.1.0.0.b,6,unexpected_contents,unexpected_contents,physical_knowledge_materials|physical_knowledge_object_permanence,object_label|object_material|object_contents|object_material_transparency,0.0,counterfactual,forward," You went into the centre of Jakarta to do some shopping. You went down a side street that you had never been down before, and found a shop that you didn't recognise. There were no windows and the opaque plastic door was shut. Earlier that day, you had ordered some sweets. The sign on the shop was written in your language. You read the sign which said: 'Carpets'. Going inside, the shop was filled with pets, and did not contain any carpets. 

Before going inside, what would you have believed was inside the shop?
1. Both pets and carpets.
2. Pets.
3. Sweets.
4. Carpets.
",4,Both pets and carpets.,Pets.,Sweets.,Carpets.,B,3
